start (index),end (index)
79,241
160,322
241,404
322,487
404,569
487,649
569,731
649,816
731,899
816,983
899,1064
983,1145
1064,1229
1145,1310
1229,1393
1310,1476
1393,1562
1476,1642
1562,1726
1642,1806
1726,1892
1806,1973
1892,2054
1973,2136
2054,2215
2136,2294
2215,2381
2294,2465
2381,2548
2465,2635
2548,2716
2635,2799
2716,2884
2799,2966
2884,3054
2968,3141
3054,3230
3141,3322
3230,3409
3322,3501
3409,3589
3501,3679
3589,3770
3679,3866
3774,3960
3866,4064
3963,4159
4064,4250
4159,4341
4253,4454
4348,4548
4454,4651
4548,4741
4651,4826
4741,4912
4826,5008
4915,5102
5008,5222
