start (index),end (index)
68,265
165,367
265,451
367,552
456,644
552,739
644,819
739,920
825,1014
920,1088
1014,1178
1094,1260
1183,1342
1267,1436
1348,1514
1436,1601
1519,1688
1604,1776
1693,1860
1782,1950
1867,2040
1955,2126
2040,2213
2131,2299
2218,2382
2303,2469
2382,2554
2473,2638
2559,2727
2643,2813
2727,2901
2813,2990
2903,3083
2990,3167
3083,3251
3175,3338
3258,3428
3344,3520
3434,3603
3520,3691
3610,3783
3698,3876
3790,3962
3880,4047
3969,4141
4052,4230
4147,4322
4236,4405
4322,4492
4410,4578
4496,4667
4585,4757
4675,4851
4765,4940
4859,5026
4947,5114
5034,5200
5122,5286
5209,5375
5297,5464
5383,5551
5471,5641
5559,5727
5649,5816
