start (index),end (index)
115,289
205,374
289,462
374,546
462,635
546,711
635,795
716,881
799,962
881,1048
965,1130
1048,1213
1133,1297
1217,1378
1303,1459
1384,1544
1466,1626
1551,1707
1632,1789
1713,1874
1795,1952
1879,2039
1952,2124
2044,2207
2130,2295
2212,2381
2301,2470
2386,2558
2470,2644
2558,2733
2648,2820
2733,2908
2827,3001
2914,3092
3001,3181
3096,3276
3186,3377
3282,3562
3377,3660
3568,3756
3660,3850
3760,3937
3853,4033
3944,4127
4033,4227
4134,4335
4234,4645
4544,4748
4650,4850
4754,4952
4850,5051
4952,5225
5051,5324
5225,5458
5331,5550
5463,5664
5568,5791
5674,5888
5791,6019
5910,6130
6031,6249
6141,6385
6263,6517
6397,6685
6531,6876
6746,7005
6888,7153
7023,7291
