start (index),end (index)
93,312
203,444
318,564
444,667
564,781
677,875
781,967
875,1074
967,1183
1074,1288
1183,1390
1288,1496
1390,1607
1496,1712
1607,1813
1712,1923
1813,2018
1923,2134
2025,2233
2134,2334
2233,2440
2334,2548
2440,2656
2548,2748
2656,2877
2756,2990
2877,3098
2990,3220
3098,3337
3220,3445
3337,3556
3445,3671
3556,3780
3671,3900
3780,4021
3900,4132
4021,4248
4132,4363
4248,4486
4365,4609
4486,4737
4609,4857
4737,4978
4857,5085
4978,5197
5086,5310
5197,5426
5310,5547
5426,5659
5547,5777
5660,5895
5777,6038
5895,6175
6038,6305
6175,6437
6305,6581
6437,6714
6581,6867
6730,6991
6867,7129
6991,7268
7129,7422
7268,7560
7422,7694
7560,7829
7694,7980
7829,8127
7980,8309
8127,8457
8309,8621
8457,8785
8621,8955
8785,9113
8955,9285
9113,9444
9285,9622
9444,9796
9622,9980
9796,10200
9980,10423
10200,10649
