start (index),end (index)
51,206
127,283
206,362
283,439
362,514
439,590
514,663
590,736
663,810
736,883
810,951
883,1018
951,1085
1018,1150
1085,1217
1150,1286
1217,1353
1286,1419
1353,1484
1419,1550
1484,1616
1550,1680
1616,1745
1680,1807
1745,1869
1807,1936
1869,1997
1936,2059
1997,2121
2059,2184
2121,2247
2184,2310
2247,2369
2310,2430
2369,2493
2430,2551
2493,2611
2551,2673
2611,2734
2673,2794
2734,2856
2794,2916
2856,2979
2916,3041
2979,3103
3041,3170
3103,3235
3170,3297
3235,3360
3297,3425
3360,3486
3425,3550
3486,3612
3550,3676
3612,3737
3676,3801
3737,3863
3801,3924
3863,3986
3924,4049
3986,4112
4049,4174
4112,4237
4174,4300
4237,4365
4300,4431
4365,4498
4431,4562
4498,4628
4562,4693
4628,4757
4693,4823
4757,4891
4823,4958
4891,5022
4958,5088
5022,5153
5088,5221
5153,5291
5221,5358
5291,5423
5358,5492
5423,5562
5492,5635
5562,5712
5635,5783
5712,5854
