start (index),end (index)
87,291
187,398
291,503
403,594
503,691
594,796
691,905
796,1012
907,1132
1012,1236
1132,1328
1236,1431
1328,1533
1431,1643
1533,1743
1643,1821
1743,1943
1831,2044
1943,2143
2044,2254
2149,2361
2258,2486
2371,2593
2486,2695
2593,2800
2695,2897
2800,3004
2901,3100
3004,3204
3105,3303
3204,3406
3303,3512
3406,3622
3523,3730
3629,3839
3736,3954
3847,4062
3961,4168
4068,4272
4171,4378
4272,4486
4382,4582
4486,4690
4582,4796
4693,4928
4809,5027
4928,5128
5027,5244
5137,5360
5244,5463
5360,5586
5476,5714
5600,5836
5726,5951
5844,6074
5962,6187
6074,6318
6196,6459
6329,6560
6459,6666
6560,6789
6677,6923
6801,7047
6934,7172
7061,7296
7179,7422
7309,7561
7432,7664
7561,7788
7675,7923
7788,8055
7923,8171
8061,8293
8183,8406
