start (index),end (index)
55,264
162,359
264,440
359,540
445,661
545,761
661,852
761,958
856,1065
964,1179
1065,1274
1179,1381
1280,1479
1381,1579
1479,1697
1579,1799
1697,1903
1799,1993
1903,2093
1999,2201
2093,2301
2203,2393
2301,2509
2394,2615
2509,2714
2615,2814
2714,2914
2814,3016
2914,3110
3016,3208
3110,3306
3208,3405
3306,3506
3405,3594
3506,3693
3597,3785
3693,3879
3785,3988
3882,4078
3988,4177
4082,4273
4177,4374
4273,4486
4378,4586
4487,4680
4586,4786
4684,4892
4786,4997
4892,5105
4997,5219
5105,5351
5219,5490
