start (index),end (index)
123,354
239,506
354,631
506,743
631,843
743,970
849,1083
970,1191
1083,1311
1191,1425
1311,1554
1425,1655
1554,1759
1655,1868
1759,1979
1868,2079
1979,2185
2079,2298
2185,2404
2298,2509
2404,2621
2509,2736
2621,2846
2736,2966
2846,3073
2966,3190
3073,3304
3190,3407
3304,3502
3407,3607
3502,3707
3607,3813
3707,3929
3813,4034
3929,4140
4034,4249
4140,4353
4249,4466
4353,4575
4466,4697
4575,4817
4697,4931
4817,5037
4931,5167
5047,5279
5167,5392
5279,5527
5392,5653
5527,5770
5653,5893
5770,6022
5893,6136
6022,6246
6136,6366
6246,6498
6366,6622
6498,6743
6622,6863
6743,6989
6863,7119
6989,7249
7119,7375
7249,7516
7375,7651
7516,7787
7651,7919
7787,8059
7919,8202
8059,8337
8202,8482
8337,8623
8482,8776
8623,8932
8776,9102
8932,9296
9102,9473
9296,9681
9473,9884
9681,10089
9884,10290
10089,10475
