start (index),end (index)
64,235
150,322
235,409
322,495
409,584
500,685
592,768
685,865
773,958
865,1047
958,1137
1047,1227
1137,1314
1228,1407
1314,1492
1407,1578
1492,1670
1578,1751
1670,1837
1751,1925
1837,2012
1925,2104
2012,2191
2104,2276
2191,2365
2276,2453
2365,2539
2453,2628
2539,2717
2628,2805
2717,2896
2805,2986
2896,3077
2986,3162
3077,3249
3162,3340
3249,3432
3340,3524
3432,3614
3524,3704
3614,3793
3704,3887
3793,3977
3887,4071
3977,4163
4071,4257
4163,4350
4257,4451
4352,4545
4451,4662
4548,4751
4664,4858
4757,4939
4858,5043
4945,5124
5043,5224
5130,5312
5224,5399
5314,5498
5406,5597
5504,5689
5600,5781
5697,5874
5788,5971
5880,6070
5977,6162
6080,6268
6173,6356
6270,6447
6362,6544
6452,6660
