start (index),end (index)
62,206
133,281
206,358
281,427
358,498
427,569
498,643
569,716
643,783
716,855
783,916
855,989
916,1059
989,1131
1059,1202
1131,1273
1202,1342
1273,1413
1342,1481
1413,1546
1481,1620
1546,1689
1620,1766
1689,1836
1766,1905
1836,1971
1905,2038
1971,2104
2038,2174
2104,2251
2174,2321
2251,2387
2321,2461
2387,2531
2461,2600
2531,2672
2600,2745
2672,2819
2745,2909
2819,2990
2909,3063
2990,3140
3063,3223
3140,3305
3223,3384
3305,3464
3384,3545
3464,3623
3545,3705
3623,3788
3705,3882
3788,3994
3890,4077
3994,4204
4077,4307
4204,4439
4307,4573
4439,4747
4584,4855
4747,5084
4884,5210
5084,5448
5241,5562
