start (index),end (index)
95,244
168,321
244,396
321,465
396,540
465,615
540,687
615,761
687,2920
2832,2988
2920,3076
2991,3161
3076,3243
3161,3335
3243,3430
3335,3512
3430,3606
3518,3694
3609,3775
3694,3867
3775,3960
3873,4048
3968,4132
4048,4220
4132,4305
4220,4393
4314,4487
4405,4590
4495,4688
4599,4787
4698,4894
4796,4972
4894,5065
4982,5163
5074,5245
5163,5331
5245,5434
5338,5531
5434,5629
5531,5721
5636,5815
5721,5913
5815,6003
5918,6101
6003,6190
6101,6294
6201,6392
6294,6508
6398,6603
6508,6701
6603,6807
6707,6906
6813,7015
6912,7116
7023,7228
7123,7323
7235,7441
7331,7540
7441,7650
7548,7758
7659,7862
7769,7960
7867,8062
7966,8163
8071,8267
8169,8375
8277,8490
8384,8593
8498,8693
