start (index),end (index)
70,293
181,406
293,523
406,631
523,750
631,876
750,1007
876,1132
1007,1261
1132,1385
1261,1521
1385,1653
1521,1772
1653,1913
1772,2043
1913,2178
2043,2323
2178,2458
2323,2595
2458,2725
2595,2871
2725,3026
2871,3173
3026,3329
3173,3463
3329,3604
3463,3751
3604,3902
3751,4045
3902,4187
4045,4330
4187,4476
4330,4632
4476,4785
4632,4940
4785,5098
4940,5254
5098,5408
5254,5556
5408,5705
5556,5861
5705,6015
5861,6168
6015,6308
6168,6466
6308,6633
6466,6800
6633,6964
6800,7120
6964,7274
7120,7429
7274,7592
7429,7753
7592,7913
7753,8073
7913,8232
8079,8387
8234,8545
8387,8709
8545,8857
8709,9016
8864,9184
9025,9352
9188,9499
9352,9662
9504,9817
9662,9985
9822,10142
9985,10288
10142,10454
10288,10614
10454,10773
10619,10945
10782,11120
10951,11291
11127,11459
11300,11640
11468,11781
11640,11945
11787,12109
11951,12277
12117,12441
12280,12608
12441,12767
12608,12934
12774,13111
12939,13286
13111,13446
13291,13599
13446,13769
13606,13934
13778,14111
