start (index),end (index)
180,422
324,518
422,621
518,708
621,805
708,891
805,989
891,1073
989,1164
1073,1264
1164,1361
1264,1450
1361,1554
1455,1641
1554,1733
1641,1824
1733,1914
1824,2004
1914,2097
2004,2194
2097,2282
2194,2374
2282,2474
2374,2592
2474,2724
2592,2846
2724,2960
2846,3066
2960,3187
3066,3300
3187,3406
3300,3508
3406,3621
3514,3738
3621,3847
3738,3970
3856,4090
3970,4200
4090,4304
4200,4432
4314,4544
4432,4663
4544,4773
4663,4890
4773,5001
4890,5119
5001,5235
5119,5347
5235,5465
5347,5580
5465,5697
5580,5803
5697,5912
