start (index),end (index)
93,249
174,323
249,395
323,471
395,551
471,629
551,704
629,779
704,855
779,932
855,1009
932,1083
1009,1154
1083,1229
1154,1302
1229,1374
1302,1442
1374,1511
1442,1582
1511,1657
1582,1732
1657,1802
1732,1872
1802,1943
1872,2013
1943,2087
2013,2155
2087,2225
2155,2296
2225,2370
2296,2442
2370,2516
2442,2586
2516,2658
2586,2725
2658,2798
2725,2867
2798,2940
2867,3013
2940,3088
3013,3160
3088,3234
3160,3304
3234,3376
3304,3446
3376,3515
3446,3588
3515,3666
3588,3734
3666,3806
3734,3875
3806,3947
3875,4025
3947,4101
4025,4174
4101,4245
4174,4321
4245,4396
4321,4468
4396,4542
4468,4617
4542,4696
4617,4776
4696,4851
4776,4925
4851,4999
4925,5075
4999,5152
5075,5229
5152,5305
5229,5379
5305,5455
5379,5528
5455,5603
5528,5674
5603,5750
5674,5824
5750,5899
5824,5971
5899,6046
5971,6117
6046,6188
6117,6263
6188,6338
6263,6415
6338,6490
6415,6563
6490,6638
6563,6712
6638,6784
6712,6859
6784,6935
6859,7013
6935,7094
7013,7179
7094,7259
7179,7344
7259,7421
7344,7499
7421,7576
7499,7655
7576,7737
7655,7817
7737,7900
7817,7981
7900,8059
7981,8138
8059,8217
8138,8298
8217,8383
8298,8466
8383,8554
8466,8634
8554,8718
8634,8802
8718,8913
8817,9001
8913,9089
9001,9175
9089,9263
9175,9342
9263,9431
9342,9524
9431,9613
9524,9719
9613,9828
9719,9947
9828,10069
9947,10180
