start (index),end (index)
15,159
88,230
159,301
230,376
301,447
376,518
447,589
518,661
589,738
661,810
738,883
810,957
883,1032
957,1104
1032,1176
1104,1253
1176,1328
1253,1402
1328,1477
1402,1553
1477,1628
1553,1707
1628,1787
1707,1866
1787,1942
1866,2022
1942,2100
2022,2178
2100,2255
2178,2334
2255,2412
2334,2489
2412,2569
2489,2649
2569,2728
2649,2804
2728,2883
2804,2961
2883,3041
2961,3122
3041,3202
3122,3280
3202,3359
3280,3438
3359,3520
3438,3604
3520,3689
3604,3771
3689,3852
3771,3935
3852,4016
3935,4095
4016,4179
4095,4266
4179,4345
