start (index),end (index)
101,302
200,397
302,503
397,600
503,715
609,820
715,922
820,1030
922,1135
1030,1243
1135,1342
1243,1441
1344,1540
1441,1633
1540,1736
1633,1831
1736,1934
1831,2033
1934,2132
2035,2227
2132,2318
2228,2421
2318,2520
2421,2615
2520,2721
2617,2815
2721,2913
2815,3009
2913,3105
3009,3198
3105,3286
3198,3380
3286,3475
3380,3569
3475,3660
3569,3748
3660,3847
3748,3944
3847,4044
3944,4138
4044,4239
4138,4321
4239,4432
4328,4534
4432,4636
4534,4740
4636,4845
4740,4946
4845,5056
4946,5176
5056,5294
