start (index),end (index)
165,647
403,866
647,1170
866,1466
1170,1819
1466,2061
1819,2296
2061,3075
2296,3362
3075,3635
3362,3865
3635,4071
3865,4312
4071,4526
4312,4716
4526,4908
4716,5075
4908,5260
5075,5437
5260,5600
5437,5764
5600,5913
5764,6067
5913,6217
6067,6379
6217,6528
6379,6676
6528,6829
6676,6981
6829,7124
6981,7270
7124,7427
7270,7570
7427,7715
7570,7850
7715,7978
7850,8117
7978,8256
8117,8383
8256,8507
8383,8637
8507,8767
8637,8905
8767,9046
8905,9184
9046,9326
9184,9465
9326,9595
9465,9720
9595,9842
9720,9967
9842,10091
9967,10209
10091,10323
10209,10433
10323,10556
10433,10668
10556,10783
10668,10900
10783,11009
10900,11106
11009,11227
11106,11346
11227,11462
11346,11573
11462,11685
11573,11799
11685,11908
11799,12023
11908,12138
12023,12247
12138,12357
12247,12477
12357,12594
12477,12708
12594,12818
12708,12933
12818,13039
12933,13151
13039,13267
13151,13374
13267,13481
13374,13592
13481,13701
13592,13809
13703,13917
13809,14028
13917,14146
14028,14261
14146,14381
14261,14498
14381,14614
14498,14727
14614,14844
14727,14946
14844,15052
14947,15162
15052,15269
15162,15383
15269,15493
15383,15627
