start (index),end (index)
92,353
226,485
353,619
485,752
619,883
752,1017
883,1143
1017,1269
1143,1392
1269,1523
1392,1654
1523,1789
1654,1927
1789,2058
1927,2191
2058,2325
2191,2470
2325,2618
2470,2758
2618,2901
2758,3034
2901,3183
3034,3324
3183,3463
3324,3604
3463,3734
3604,3870
3734,4000
3870,4136
4000,4269
4136,4399
4269,4541
4399,4675
4541,4808
4675,4944
4808,5079
4944,5225
5079,5364
5225,5511
5364,5648
5511,5789
5648,5923
5789,6058
5923,6191
6058,6320
6191,6450
6320,6582
6450,6718
6582,6846
6718,6977
6846,7113
6977,7241
7113,7364
7241,7503
7367,7634
7503,7758
7634,7894
7766,8026
7894,8168
8032,8296
8168,8440
8305,8562
8440,8691
8562,8825
8691,8952
8825,9091
8952,9219
9091,9355
9222,9490
9355,9627
9490,9760
9627,9905
9770,10055
9912,10194
10055,10344
10207,10484
