start (index),end (index)
73,282
178,387
282,484
387,596
484,711
596,822
711,926
822,1036
926,1145
1036,1250
1145,1345
1250,1441
1345,1534
1441,1638
1534,1741
1638,1841
1741,1946
1841,2045
1946,2148
2045,2249
2148,2347
2249,2439
2347,2542
2439,2647
2543,2747
2647,2840
2747,2940
2841,3038
2940,3140
3038,3243
3140,3344
3245,3445
3347,3548
3448,3648
3550,3743
3651,3842
3743,3947
3842,4051
3947,4143
4051,4234
4146,4342
4237,4440
4342,4534
4440,4635
4537,4740
4638,4833
4740,4937
4840,5052
4940,5155
5053,5247
5155,5353
5253,5465
5358,5568
5473,5675
5574,5785
5682,5893
5790,6002
5899,6121
