start (index),end (index)
100,291
195,394
291,498
394,596
498,689
596,770
689,863
770,961
863,1065
961,1155
1065,1253
1155,1353
1253,1457
1353,1542
1457,1635
1542,1727
1635,1816
1727,1908
1816,2005
1908,2097
2005,2191
2097,2277
2191,2368
2277,2462
2368,2551
2462,2643
2551,2739
2643,2828
2739,2921
2828,3020
2921,3122
3022,3233
3122,3335
3233,3449
3345,3534
3449,3959
3838,4071
3959,4187
4071,4316
4187,4433
4316,4541
4433,4649
4541,4758
4649,4889
4758,5006
4889,5125
5006,5229
5125,5377
5229,5511
5377,5624
5511,5762
5624,5885
