start (index),end (index)
74,222
148,294
222,370
294,442
370,517
442,590
517,663
590,735
663,808
735,881
808,949
881,1020
953,1088
1020,1153
1088,1219
1156,1282
1219,1345
1282,1403
1347,1462
1403,1523
1462,1583
1527,1641
1583,1703
1644,1765
1706,1824
1767,1887
1827,1947
1889,2005
1949,2066
2007,2128
2066,2189
2128,2248
2189,2314
2250,2376
2314,2439
2376,2499
2439,2560
2499,2622
2560,2679
2622,2738
2679,2800
2738,2859
2800,2918
2859,2981
2918,3042
2981,3103
3042,3166
3103,3230
3166,3296
3230,3358
3296,3422
3358,3487
3422,3549
3487,3615
3549,3679
3615,3743
3679,3807
3743,3877
3807,3941
3877,4007
3941,4071
4007,4142
4071,4212
4142,4278
4212,4344
4278,4413
4344,4487
4413,4566
4487,4663
4566,4766
