start (index),end (index)
62,249
147,354
249,452
358,549
452,651
552,752
656,862
756,965
862,1066
965,1160
1066,1248
1160,1352
1251,1443
1352,1534
1443,1629
1534,1719
1629,1808
1719,1897
1808,1982
1897,2067
1982,2152
2067,2240
2152,2331
2240,2427
2331,2519
2427,2612
2519,2704
2612,2792
2704,2879
2792,2968
2879,3059
2968,3151
3059,3248
3151,3337
3248,3432
3337,3531
3432,3630
3531,3729
3630,3860
3729,3962
3860,4057
3962,4172
4057,4292
4172,4406
4292,4525
4406,4665
4525,4800
4665,4928
4800,5044
4928,5188
5044,5378
5188,5527
