start (index),end (index)
64,203
133,269
203,337
270,406
337,470
406,538
470,601
538,666
602,733
666,802
733,871
802,942
871,1011
943,1083
1011,1149
1083,1224
1149,1294
1224,1365
1294,1447
1365,1519
1447,1594
1519,1666
1594,1738
1666,1809
1738,1881
1809,1955
1881,2028
1955,2101
2028,2178
2101,2255
2178,2330
2255,2401
2330,2478
2401,2592
2478,2669
2592,2745
2669,2820
2745,2895
2820,2967
2895,3042
2967,3123
3042,3228
3123,3317
3228,3405
3317,3482
3405,3564
3482,3655
3564,3756
3655,3854
3756,3957
3854,4085
3957,4180
4085,4286
4180,4408
4286,4583
4418,4758
4593,4946
