start (index),end (index)
73,219
155,307
223,381
307,454
381,533
454,608
533,683
608,760
683,837
760,913
837,986
913,1061
986,1129
1061,1206
1129,1280
1206,1354
1280,1431
1354,1503
1431,1578
1503,1658
1578,1738
1658,1817
1738,1893
1817,1969
1893,2049
1969,2127
2049,2202
2127,2277
2202,2349
2277,2421
2349,2498
2421,2574
2498,2645
2574,2716
2645,2792
2716,2866
2792,2941
2866,3022
2941,3092
3022,3165
3092,3243
3165,3321
3243,3400
3321,3476
3400,3546
3476,3626
3546,3717
3626,3793
3717,3862
3793,3938
3862,4021
3938,4099
4021,4187
4099,4266
