start (index),end (index)
83,287
187,381
287,481
381,579
481,686
579,783
686,889
783,990
889,1087
990,1185
1087,1285
1185,1386
1285,1488
1386,1583
1488,1678
1585,1786
1678,1892
1786,2001
1892,2108
2001,2207
2108,2305
2207,2405
2305,2516
2405,2624
2516,2736
2624,2892
2736,2998
2892,3108
2998,3224
3108,3320
3224,3421
3320,3539
3421,3652
3546,3754
3652,3857
3754,3956
3857,4078
3956,4194
4088,4311
4204,4427
4324,4540
4427,4640
4540,4755
4649,4849
4755,4954
4855,5049
4954,5178
5062,5274
5180,5378
5274,5483
5384,5588
5491,5697
5598,5805
5709,5921
5813,6019
5923,6124
6028,6233
