start (index),end (index)
77,237
155,320
237,400
320,482
400,561
482,641
561,719
641,798
719,871
798,947
871,1018
947,1090
1018,1161
1090,1224
1161,1297
1224,1371
1297,1444
1371,1522
1444,1602
1522,1674
1602,1747
1674,1821
1747,1894
1821,1969
1894,2042
1969,2115
2042,2190
2115,2257
2190,2330
2257,2401
2330,2472
2401,2546
2472,2625
2546,2699
2625,2771
2699,2841
2771,2910
2841,2984
2910,3062
2984,3138
3062,3216
3138,3290
3216,3364
3290,3440
3364,3546
3440,3622
3546,3704
3622,3787
3704,3875
3787,3949
3875,4021
3949,4092
4021,4163
4092,4237
4163,4311
4237,4387
4311,4463
4387,4536
4463,4609
4536,4683
4609,4755
4683,4833
4755,4917
4833,4998
4917,5074
4998,5150
5074,5234
5150,5319
5234,5404
5319,5486
5404,5584
5486,5675
5584,5763
5675,5851
5763,5963
5851,6062
5963,6154
6062,6243
6154,6337
6243,6432
6337,6531
6432,6653
6531,6769
6653,6875
6769,6986
6875,7101
6986,7218
7101,7334
7218,7447
7334,7569
7447,7689
7569,7816
7689,7946
7816,8084
7954,8222
