start (index),end (index)
51,429
238,625
439,811
633,975
814,1152
983,1344
1160,1516
1344,1679
1516,1836
1679,1987
1842,2141
1994,2298
2150,2448
2298,2592
2456,2740
2603,2887
2747,3034
2900,3188
3045,3326
3193,3474
3339,3625
3488,3786
3633,3904
3786,4049
3915,4184
4054,4348
4194,4492
4348,4632
4492,4787
4635,4907
4787,5075
4918,5217
5075,5369
5217,5510
5369,5655
5510,5799
5655,5936
5799,6092
5939,6235
6092,6370
6235,6529
6375,6674
6531,6822
6674,6963
6822,7107
6963,7245
7107,7398
7247,7534
7398,7682
7536,7816
7682,7946
7816,8084
7948,8222
8084,8365
8222,8506
8365,8644
8506,8777
8644,8912
8777,9052
8912,9187
9052,9324
9187,9462
9324,9593
9462,9722
9594,9849
9724,9981
9849,10120
9981,10244
10121,10378
10244,10518
10379,10639
10518,10767
10639,10915
10767,11041
10915,11175
11041,11307
11176,11431
11307,11561
11431,11685
11561,11825
11685,11969
11825,12106
11969,12244
12106,12397
12245,12545
12398,12701
12545,12839
12701,12996
12843,13147
13000,13300
13153,13437
13301,13578
13437,13718
13583,13864
13723,13982
13864,14115
13986,14241
14115,14374
14241,14522
14381,14668
14529,14816
14675,14972
14816,15119
14972,15254
15119,15375
15254,15528
15386,15661
15528,15814
15667,15952
15814,16093
15952,16236
16093,16377
16236,16518
16377,16654
16518,16793
16654,16940
16793,17090
16940,17238
17090,17383
17240,17512
17383,17664
17516,17807
17664,17946
17807,18080
17946,18220
18086,18361
18224,18501
18368,18655
18509,18806
18659,18940
18806,19089
18945,19223
19089,19361
19223,19502
19362,19647
19502,19813
19647,19963
19813,20135
19969,20305
20142,20455
20305,20617
20458,20776
20617,20938
20776,21086
20938,21231
21086,21375
21231,21515
21375,21660
21528,21799
