start (index),end (index)
11,243
125,366
243,492
366,615
492,736
615,860
736,976
860,1098
976,1219
1098,1351
1219,1475
1351,1599
1475,1726
1599,1855
1726,1986
1855,2116
1986,2235
2116,2363
2235,2495
2363,2627
2495,2753
2627,2882
2753,3010
2882,3139
3010,3268
3139,3388
3268,3518
3388,3649
3518,3779
3649,3912
3779,4048
3912,4197
4048,4334
4197,4469
4334,4599
4469,4739
4599,4881
4739,5012
4881,5149
5013,5286
5149,5430
5286,5568
5430,5710
5568,5851
5710,5986
5851,6135
5986,6279
6135,6424
6279,6569
6424,6713
6569,6866
6713,7027
6866,7181
7027,7348
7181,7501
7348,7649
7501,7803
7652,7958
7803,8124
7958,8288
8124,8444
8288,8617
8444,8780
8617,8954
8780,9120
8954,9292
