start (index),end (index)
111,286
203,369
286,443
369,520
443,603
520,685
603,762
685,837
762,915
837,992
915,1068
992,1145
1068,1226
1145,1298
1226,1374
1298,1457
1376,1528
1457,1612
1530,1688
1612,1771
1688,1849
1771,1930
1849,2013
1930,2095
2013,2176
2095,2261
2176,2342
2261,2424
2342,2508
2424,2590
2508,2672
2590,2755
2672,2839
2755,2927
2839,3016
2927,3106
3016,3211
3106,3348
3241,3470
3348,3635
3506,3758
3635,3913
3758,4047
3913,4203
4070,4365
4217,4527
4378,4668
4540,4840
4682,4992
4853,5110
4992,5295
