start (index),end (index)
86,281
185,376
283,472
376,575
472,667
575,759
667,856
762,961
858,1044
961,1152
1051,1246
1152,1327
1246,1433
1333,1527
1433,1621
1527,1718
1621,1813
1718,1904
1813,1997
1904,2089
1997,2183
2089,2277
2183,2372
2277,2466
2372,2558
2466,2655
2558,2749
2655,2843
2749,2938
2843,3032
2938,3129
3032,3226
3129,3321
3226,3414
3321,3510
3414,3603
3510,3695
3603,3786
3695,3875
3786,3968
3875,4061
3968,4158
4061,4251
4158,4346
4251,4441
4346,4539
4441,4634
4539,4729
4634,4825
4729,4920
4825,5013
4920,5106
5013,5205
5106,5303
5205,5402
5303,5499
5402,5600
5499,5701
5600,5796
5701,5907
5799,6004
5907,6119
6007,6227
6119,6330
6231,6468
