start (index),end (index)
99,227
162,292
227,357
292,420
357,481
420,547
481,616
547,687
616,755
687,827
755,891
827,960
891,1025
960,1093
1025,1156
1093,1225
1156,1291
1225,1358
1291,1424
1358,1491
1424,1555
1491,1621
1555,1689
1621,1760
1689,1824
1760,1892
1824,1959
1892,2028
1959,2092
2028,2157
2092,2223
2157,2290
2223,2363
2290,2428
2363,2497
2428,2564
2497,2632
2564,2698
2632,2769
2698,2839
2769,2908
2839,2972
2908,3038
2972,3106
3038,3178
3106,3255
3178,3325
3255,3402
3325,3474
3402,3545
3474,3613
3545,3687
3613,3761
3687,3834
3761,3907
3834,3986
