start (index),end (index)
307,456
387,533
462,608
537,685
616,772
692,842
772,924
846,998
924,1075
998,1143
1075,1219
1148,1297
1223,1366
1297,1431
1368,1503
1436,1572
1505,1637
1572,1704
1637,1768
1706,1843
1772,1915
1843,1982
1915,2050
1983,2123
2053,2194
2127,2261
2198,2331
2265,2402
2331,2466
2402,2533
2466,2604
2533,2673
2608,2747
2678,2815
2747,2885
2819,2955
2888,3024
2960,3094
3027,3168
3098,3236
3168,3308
3240,3378
3311,3451
3383,3529
3455,3601
3529,3671
3601,3744
3673,3823
3746,3890
3823,3962
3892,4033
3965,4109
4036,4183
4112,4260
4186,4338
4263,4416
4338,4494
4420,4574
4494,4652
4576,4730
4652,4810
4733,4885
4812,4966
4889,5053
4968,5137
