start (index),end (index)
108,268
191,346
268,424
346,501
424,585
501,662
585,743
662,819
743,896
819,978
896,1056
978,1133
1056,1210
1133,1287
1210,1363
1287,1438
1363,1513
1438,1587
1513,1662
1587,1741
1662,1821
1741,1898
1821,1977
1898,2056
1977,2134
2056,2212
2134,2288
2212,2365
2288,2447
2365,2523
2447,2601
2523,2678
2601,2756
2678,2832
2756,2908
2832,2985
2908,3058
2985,3130
3058,3202
3130,3273
3202,3349
3273,3425
3349,3504
3425,3576
3504,3650
3576,3723
3650,3801
3723,3874
3801,3950
3874,4023
3950,4100
4023,4173
4100,4248
4173,4322
4248,4397
4322,4472
4397,4543
4472,4615
4543,4685
4615,4756
4685,4825
4756,4899
4825,4970
4899,5042
4970,5113
5042,5184
5113,5257
5184,5331
5257,5404
5331,5474
5404,5547
5474,5620
5547,5692
5620,5764
5692,5835
5764,5913
5835,5987
5913,6057
5987,6130
6057,6200
6130,6273
6200,6343
6273,6412
6343,6485
6412,6556
6485,6629
6556,6702
6629,6773
6702,6841
6773,6915
6841,6988
6915,7060
6988,7131
7060,7207
7131,7284
7207,7363
7284,7437
7363,7516
7437,7594
7516,7673
7594,7749
7673,7826
7749,7910
7826,7989
7910,8068
7989,8155
8068,8241
8155,8325
8241,8403
8325,8487
8403,8573
8487,8662
8573,8746
8662,8823
8746,8923
8823,9008
8923,9093
9008,9193
9093,9288
9193,9383
9288,9502
9383,9622
9502,9715
9622,9834
9715,9962
9834,10087
9962,10206
10087,10322
10206,10428
10322,10531
10428,10649
10531,10772
10649,10915
10772,11034
10915,11136
11034,11248
11136,11361
11248,11471
11361,11584
11471,11696
11584,11809
11696,11916
11809,12028
11916,12138
12028,12252
12138,12381
12252,12487
12381,12610
12487,12724
12610,12838
12724,12954
12838,13070
12954,13179
13070,13294
13179,13440
13294,13545
13440,13663
13545,13784
13663,13908
13784,14021
13908,14132
14021,14241
14132,14347
14241,14436
14347,14554
14447,14684
14564,14780
14684,14891
14788,15068
