start (index),end (index)
114,322
248,395
322,464
395,532
464,605
532,676
605,747
676,819
747,893
819,959
893,1026
959,1093
1026,1163
1093,1231
1163,1300
1231,1368
1300,1439
1368,1511
1439,1583
1511,1653
1583,1726
1653,1799
1726,1869
1799,1936
1869,2004
1936,2069
2004,2138
2069,2210
2138,2284
2210,2354
2284,2422
2354,2489
2422,2557
2489,2625
2557,2695
2625,2765
2695,2834
2765,2904
2834,2973
2904,3041
2973,3108
3041,3176
3108,3243
3176,3308
3243,3373
3308,3437
3373,3503
3437,3568
3503,3638
3568,3708
3638,3782
3708,3853
3782,3924
3853,3995
3924,4063
3995,4137
4063,4207
4137,4279
4207,4353
4279,4426
4353,4501
4426,4578
4501,4658
4578,4733
4658,4808
4733,4884
4808,4971
4884,5045
4971,5121
5045,5198
5121,5270
5198,5344
5270,5420
5344,5492
5420,5566
5492,5639
5566,5722
5639,5799
5722,5880
5799,5956
5880,6042
5957,6116
6042,6250
6116,6324
6250,6395
6324,6473
6395,6552
6473,6625
6552,6701
6625,6778
6701,6854
6778,6931
6854,7087
6931,7169
7087,7246
7169,7324
7246,7399
7324,7482
7399,7561
7482,7639
7561,7775
7639,7856
7775,7935
7856,8016
7935,8096
8016,8177
8096,8252
8177,8393
8252,8476
8393,8557
8476,8637
8557,8714
8637,8805
8718,8885
8805,8971
8885,9051
8971,9138
9056,9227
9144,9312
9232,9407
9317,9491
9407,9626
9491,9704
9626,9787
9704,9868
9787,9953
9868,10030
9953,10119
10034,10203
10119,10278
10203,10419
10278,10494
10419,10572
10494,10654
10572,10736
10654,10816
10736,10891
10816,10973
10891,11166
10973,11240
11166,11319
11240,11394
11319,11471
11394,11551
11471,11631
11551,11712
11631,11900
11712,11978
11900,12053
11978,12141
12053,12220
12141,12298
12220,12385
12298,12464
12385,12541
12464,12690
12541,12766
12690,12847
12766,12922
12847,13002
12922,13078
13002,13164
13078,13239
13164,13315
13239,13398
13315,13471
13398,13546
13471,13624
13546,13695
13624,13785
13700,13936
13785,14012
13936,14086
14012,14164
14086,14244
14164,14321
14244,14433
14321,14535
14433,14606
14535,14683
14606,14758
14683,14838
14758,14911
14838,14983
