start (index),end (index)
59,328
190,476
336,617
476,755
625,894
759,1034
894,1151
1034,1290
1155,1404
1290,1529
1405,1661
1532,1769
1661,1897
1770,2017
1898,2139
2017,2268
2141,2390
2270,2525
2401,2644
2525,2764
2644,2890
2764,3018
2892,3137
3018,3263
3137,3382
3263,3501
3382,3621
3501,3741
3621,3861
3741,3979
3861,4105
3979,4224
4105,4348
4224,4480
4348,4607
4480,4728
4607,4858
4728,4990
4858,5126
4990,5254
5126,5387
5254,5520
5387,5659
5520,5802
5659,5947
5802,6099
5947,6242
6099,6380
6242,6524
6380,6665
6524,6807
6667,6962
6807,7126
6962,7294
7133,7462
