start (index),end (index)
56,240
148,338
240,436
338,530
436,684
530,777
684,865
777,953
865,1049
953,1142
1049,1228
1142,1339
1228,1421
1339,1504
1421,1587
1504,1669
1587,1751
1669,1841
1751,1920
1841,1998
1920,2079
1998,2159
2079,2238
2159,2318
2238,2390
2318,2467
2390,2542
2467,2617
2542,2692
2617,2766
2692,2844
2766,2915
2844,2994
2915,3069
2994,3142
3069,3217
3142,3289
3217,3364
3289,3433
3364,3508
3433,3580
3508,3655
3580,3727
3655,3798
3727,3871
3798,3945
3871,4017
3945,4089
4017,4158
4089,4227
4158,4296
4227,4368
4296,4442
4368,4513
4442,4585
4513,4657
4585,4723
4657,4798
