start (index),end (index)
83,283
186,373
283,464
373,554
464,640
554,730
640,816
730,903
816,983
903,1069
983,1151
1069,1232
1151,1316
1232,1398
1316,1484
1398,1572
1484,1655
1572,1737
1655,1823
1737,1905
1823,1985
1905,2066
1985,2150
2066,2231
2150,2315
2231,2396
2315,2491
2396,2585
2491,2676
2585,2766
2676,2853
2766,2945
2853,3033
2945,3121
3033,3209
3121,3299
3209,3389
3299,3479
3389,3571
3479,3659
3571,3751
3659,3842
3751,3933
3842,4019
3933,4107
4019,4196
4107,4281
4196,4365
4281,4452
4365,4539
4452,4628
4539,4715
4628,4805
4715,4898
4805,4988
4898,5078
4988,5165
5078,5267
5165,5362
5267,5463
5362,5579
5463,5687
5579,5789
5687,5891
5789,5992
5891,6113
5992,6232
6113,6353
6232,6497
6353,6622
6497,6769
6622,6918
