start (index),end (index)
91,252
173,336
252,419
336,497
419,573
497,648
573,723
648,796
723,873
796,948
873,1022
948,1093
1022,1164
1093,1239
1164,1313
1239,1385
1313,1460
1385,1533
1460,1608
1533,1685
1608,1760
1685,1831
1760,1904
1831,1979
1904,2054
1979,2124
2054,2202
2124,2274
2202,2354
2274,2426
2354,2501
2426,2575
2501,2651
2575,2725
2651,2793
2725,2868
2793,2943
2868,3011
2943,3084
3011,3156
3084,3230
3156,3301
3230,3375
3301,3449
3375,3524
3449,3599
3524,3674
3599,3744
3674,3816
3744,3892
3816,3969
3892,4044
3969,4118
4044,4193
4118,4270
4193,4346
4270,4417
4346,4490
4417,4560
4490,4632
4560,4707
4632,4783
4707,4857
4783,4930
4857,5002
4930,5078
5002,5152
5078,5227
5152,5305
5227,5384
5305,5464
5384,5543
5464,5624
5543,5707
5624,5788
5707,5870
5788,5954
5870,6036
5954,6117
6036,6202
6117,6288
6202,6375
6288,6461
6375,6551
6461,6641
6551,6737
6641,6831
6737,6926
6831,7030
6926,7133
7030,7235
7133,7350
7235,7461
7350,7560
7461,7669
7560,7786
7669,7908
7786,8025
7911,8158
8025,8261
