start (index),end (index)
134,378
257,501
378,633
501,766
633,884
766,1001
884,1122
1001,1229
1122,1344
1229,1463
1344,1582
1463,1689
1582,1808
1689,1957
1808,2076
1957,2202
2076,2326
2202,2451
2332,2577
2451,2699
2577,2809
2699,2931
2809,3051
2936,3169
3051,3297
3169,3410
3297,3524
3410,3643
3524,3767
3643,3891
3767,4014
3891,4130
4019,4257
4130,4384
4257,4514
4384,4649
4514,4788
4649,4915
4788,5053
4915,5182
5053,5305
5182,5448
5305,5562
5448,5699
5562,5847
5699,5981
5847,6103
5981,6240
6103,6360
6240,6490
6360,6624
6490,6777
6624,6923
6777,7061
6923,7185
7061,7318
7185,7446
7318,7574
7446,7709
7574,7828
7709,7963
7828,8104
7963,8252
8106,8390
8252,8516
8390,8658
8516,8796
8658,8929
8796,9078
8929,9207
9078,9341
9207,9482
9341,9616
9482,9756
9624,9890
9756,10005
9890,10128
10005,10251
10128,10371
10251,10479
10371,10599
10479,10712
10605,10813
10712,10925
10821,11052
10925,11174
11052,11290
11181,11408
11290,11532
11408,11653
11532,11762
11653,11869
11768,11986
11877,12100
11988,12221
12108,12346
12228,12464
12346,12567
12468,12685
12567,12784
12685,12897
12784,13002
12903,13110
13007,13227
13117,13337
13232,13454
13345,13560
13454,13679
13566,13796
13679,13901
13801,14006
13910,14131
14014,14248
14140,14369
14255,14495
14373,14609
14495,14721
14609,14845
14721,14977
14845,15094
14981,15209
15097,15334
15216,15437
15334,15555
15443,15680
15555,15797
15680,15893
15797,16025
15901,16149
16025,16279
16149,16387
16279,16490
16387,16616
