start (index),end (index)
92,228
159,289
228,351
291,423
355,485
423,551
487,615
551,680
615,745
680,810
745,877
810,944
877,1012
944,1079
1012,1145
1079,1213
1145,1279
1213,1347
1279,1413
1347,1477
1413,1543
1477,1608
1543,1674
1608,1741
1674,1808
1741,1875
1808,1943
1875,2007
1943,2074
2007,2139
2074,2202
2139,2270
2202,2339
2270,2408
2339,2476
2408,2542
2476,2609
2542,2676
2609,2744
2676,2807
2744,2874
2807,2949
2874,3020
2949,3089
3020,3159
3089,3228
3159,3303
3228,3370
3303,3441
3370,3513
3441,3583
3513,3654
3583,3727
3654,3797
3727,3867
3797,3936
3867,4004
3936,4072
4004,4142
4072,4213
4142,4283
4213,4351
4283,4421
4351,4493
4421,4564
4493,4634
4564,4705
4634,4779
4705,4853
4779,4927
4853,4999
4927,5070
4999,5143
5070,5216
5143,5286
5216,5358
5286,5433
5358,5508
5433,5582
5508,5654
5582,5731
5654,5802
5731,5874
5802,5946
5874,6020
5946,6098
6020,6170
6098,6244
6170,6319
6244,6392
6319,6461
6392,6533
6461,6604
6533,6678
6604,6753
6678,6827
6753,6902
6827,6983
6902,7062
6983,7143
7062,7225
7143,7304
7225,7376
7304,7449
7376,7524
7449,7596
7524,7674
7596,7749
7674,7822
7749,7896
7822,7969
7896,8043
7969,8119
8043,8198
8119,8275
8198,8356
8275,8430
8356,8509
8430,8587
8509,8663
8587,8745
8663,8822
8745,8896
8822,8969
8896,9041
8969,9114
9041,9185
9114,9259
9185,9330
9259,9401
9330,9471
9401,9540
9471,9611
9540,9750
9611,10497
9750,10568
10497,10648
10568,10732
10648,11057
10732,11297
11057,11380
11297,11463
11380,11547
11463,11629
11547,11713
11629,11800
11713,11877
11800,11961
11877,12044
11961,12128
12044,12209
12128,12292
12209,12372
12292,12451
12372,12532
12451,12612
12532,12688
12612,12764
12688,12919
