start (index),end (index)
76,263
170,360
263,458
360,553
458,652
553,754
652,853
754,958
853,1055
958,1153
1055,1248
1153,1341
1248,1457
1346,1556
1457,1665
1556,1766
1665,1872
1769,1987
1872,2090
1987,2206
2097,2322
2206,2413
2322,2538
2420,2647
2538,2751
2647,2866
2755,2969
2866,3073
2974,3176
3080,3294
3186,3412
3301,3530
3418,3663
3538,3765
3663,3885
3773,4000
3892,4120
4000,4228
4120,4338
4228,4452
4344,4574
4458,4693
4574,4802
4693,4936
4812,5047
4941,5189
5058,5298
5198,5401
5304,5516
5409,5632
5524,5748
5641,5863
5758,5983
5874,6116
5995,6231
6122,6351
6241,6465
6362,6582
6475,6713
6593,6815
6713,6936
6826,7053
6944,7162
7061,7272
7172,7382
7280,7497
7393,7621
7509,7733
7627,7845
7742,7960
7855,8079
