start (index),end (index)
72,233
152,317
233,400
317,482
400,560
482,637
560,716
637,792
716,869
792,946
869,1020
946,1101
1020,1176
1101,1251
1176,1326
1251,1396
1326,1463
1396,1531
1463,1602
1531,1673
1602,1745
1673,1814
1745,1885
1814,1955
1885,2024
1955,2095
2024,2165
2095,2238
2165,2307
2238,2377
2307,2446
2377,2517
2446,2589
2517,2659
2589,2727
2660,2802
2727,2870
2802,2943
2870,3016
2943,3082
3016,3154
3082,3230
3156,3301
3230,3365
3301,3436
3365,3508
3436,3576
3508,3640
3576,3706
3640,3773
3706,3840
3773,3906
3840,3973
3906,4040
3973,4108
4040,4174
4108,4243
4174,4310
4243,4377
4310,4444
4377,4513
4444,4579
4513,4646
4579,4711
4646,4776
4711,4842
4776,4906
4842,4973
4906,5039
4973,5104
5039,5171
5104,5237
5171,5303
5237,5372
5303,5438
5372,5506
5438,5574
5506,5644
5574,5714
5644,5784
5714,5859
5784,5928
5859,5999
5928,6069
5999,6141
6069,6213
6141,6285
6213,6360
6285,6435
6360,6509
6435,6587
6509,6665
6587,6743
6665,6821
6743,6899
6821,6977
6899,7059
6977,7146
7059,7228
7146,7314
7228,7398
7314,7483
7398,7578
7483,7669
7578,7768
7669,7878
