start (index),end (index)
81,248
166,351
252,447
351,543
447,636
543,734
636,824
734,914
824,1005
914,1096
1005,1188
1096,1279
1188,1365
1282,1458
1365,1553
1458,1632
1553,1736
1638,1829
1736,1921
1829,2014
1921,2097
2014,2198
2103,2287
2201,2377
2290,2457
2377,2562
2463,2650
2562,2743
2650,2834
2743,2925
2834,3018
2925,3111
3018,3207
3111,3304
3207,3397
3304,3490
3397,3584
3490,3673
3584,3767
3673,3864
3767,3955
3864,4050
3955,4147
4050,4243
4147,4337
4243,4438
4337,4541
4438,4640
4541,4733
4640,4845
4738,4975
4848,5097
4975,5223
