start (index),end (index)
48,257
155,355
257,462
355,565
462,666
565,769
666,869
769,962
869,1064
965,1166
1064,1268
1166,1366
1268,1471
1366,1568
1471,1671
1568,1763
1671,1864
1763,1962
1864,2063
1962,2158
2063,2260
2158,2362
2260,2466
2362,2571
2468,2667
2571,2778
2667,2874
2778,2977
2874,3083
2981,3184
3083,3292
3184,3395
3292,3505
3395,3605
3505,3716
3605,3830
3720,3936
3830,4036
3936,4151
4041,4263
4151,4360
4263,4466
4366,4575
4471,4669
4575,4786
4675,4905
4792,5015
4909,5128
5015,5244
5135,5347
5244,5454
5347,5570
5461,5686
5570,5805
5686,5926
5805,6060
5933,6175
6060,6289
6175,6423
6289,6555
6423,6688
6555,6830
6688,6975
6830,7142
6975,7317
