start (index),end (index)
165,376
271,470
376,567
470,666
567,766
666,867
766,958
867,1049
958,1138
1049,1237
1138,1325
1237,1411
1325,1498
1411,1586
1498,1680
1586,1777
1680,1870
1777,1966
1870,2054
1966,2156
2054,2251
2156,2339
2251,2424
2339,2505
2424,2594
2505,2685
2594,2786
2685,2878
2786,2978
2878,3069
2978,3159
3069,3250
3159,3346
3250,3441
3346,3530
3441,3625
3534,3738
3632,3831
3738,3926
3831,4017
3926,4103
4017,4203
4108,4320
4212,4421
4323,4544
4439,4647
4550,4745
4654,4850
4753,4963
4854,5054
4963,5144
5058,5250
5151,5355
5260,5455
5360,5549
5463,6185
6033,6368
6185,6481
6368,6583
6481,6695
6593,6805
6706,6899
6813,7011
6909,7127
7024,7250
7137,7344
7250,7445
7351,7542
7454,7644
7553,7760
7657,7857
7764,7956
7866,8050
7988,8145
8058,8244
8157,8345
8244,8445
8358,8538
8453,8632
8546,8741
8642,8859
8757,8958
8861,9076
