start (index),end (index)
59,257
160,358
257,457
358,556
457,657
556,760
657,862
760,958
862,1059
958,1161
1059,1269
1161,1368
1269,1471
1368,1568
1471,1666
1568,1765
1666,1863
1765,1958
1863,2055
1958,2148
2055,2244
2148,2336
2244,2432
2336,2527
2432,2625
2527,2715
2625,2816
2715,2907
2816,2999
2907,3090
2999,3177
3090,3263
3177,3354
3263,3448
3354,3537
3448,3632
3537,3725
3632,3813
3725,3903
3813,3993
3903,4089
3993,4180
4089,4270
4180,4363
4270,4458
4363,4551
4458,4641
4551,4730
4641,4822
4730,4917
4822,5010
4917,5106
5010,5196
5106,5294
5196,5390
5294,5486
5390,5578
5486,5669
5578,5765
5669,5863
5765,5960
5863,6053
5960,6144
6053,6232
6144,6329
6232,6425
6329,6518
6425,6614
6518,6711
6614,6804
6711,6901
6804,6995
6901,7091
6997,7188
7091,7291
7188,7385
7291,7481
7385,7569
7481,7667
7572,7761
7667,7855
7761,7956
7855,8045
7956,8139
8049,8230
8139,8319
8230,8418
8319,8513
8418,8608
8513,8699
8608,8796
8699,8896
8796,8988
8896,9082
8988,9170
9082,9263
9170,9353
9263,9446
9353,9538
9446,9634
9538,9721
9634,9812
9721,9907
9812,10000
9907,10093
10000,10186
10093,10284
10186,10371
10284,10462
10371,10561
10467,10649
10561,10744
10653,10836
10748,10938
10842,11034
10943,11138
11042,11238
11145,11337
11245,11431
11342,11532
11438,11640
11541,11739
11646,11832
11746,11932
11838,12032
11936,12116
12032,12213
12119,12312
12213,12395
12312,12494
12402,12604
12500,12695
12604,12799
12700,12893
12803,12999
12898,13085
12999,13192
13088,13283
13192,13369
13283,13468
13375,13569
13470,13654
13569,13751
13657,13857
13754,13951
13857,14044
13951,14143
14046,14231
14143,14322
14235,14419
14327,14514
14421,14608
14515,14703
14608,14798
14703,14887
14798,14985
14890,15079
14985,15164
15079,15253
15164,15351
15256,15446
15351,15544
15446,15639
15544,15739
15639,15832
15739,15928
15835,16020
15928,16114
16024,16206
16116,16294
16206,16393
16298,16485
