start (index),end (index)
61,221
145,294
221,369
294,448
369,529
448,603
529,677
603,754
677,839
754,906
839,984
906,1057
984,1129
1057,1202
1129,1282
1202,1359
1282,1433
1359,1505
1433,1585
1505,1656
1585,1729
1656,1812
1729,1888
1812,1966
1888,2038
1966,2119
2038,2197
2119,2295
2197,2384
2295,2470
2384,2551
2470,2644
2551,2724
2644,2817
2724,2910
2817,3004
2910,3093
3004,3175
3093,3262
3175,3341
3262,3433
3341,3519
3433,3602
3519,3689
3602,3775
3689,3858
3775,3943
3858,4032
3943,4116
4032,4210
4116,4296
4210,4385
4296,4475
4385,4573
4475,4674
4573,4768
4674,4860
4768,4959
4860,5053
4959,5157
5053,5265
5157,5377
5265,5480
5377,5589
5480,5726
5589,5833
5726,5939
5833,6038
5939,6157
6038,6276
6157,6405
6276,6558
6405,6694
6558,6866
6694,7026
