start (index),end (index)
91,241
166,316
241,391
316,469
391,551
469,631
551,703
631,774
703,846
774,921
846,989
921,1060
989,1133
1060,1208
1133,1281
1208,1353
1281,1430
1353,1503
1430,1575
1503,1649
1575,1731
1649,1809
1731,1890
1809,1959
1890,2034
1959,2103
2034,2177
2103,2247
2177,2316
2247,2388
2316,2457
2388,2526
2457,2596
2526,2669
2596,2739
2669,2815
2739,2887
2815,2962
2887,3037
2962,3111
3037,3187
3111,3259
3187,3337
3259,3415
3337,3487
3415,3562
3487,3638
3562,3718
3638,3785
3718,3872
3790,3948
3872,4024
3948,4103
4024,4184
4103,4257
4184,4333
4257,4406
4333,4483
4406,4558
4483,4631
4558,4706
4631,4781
4706,4859
4781,4936
4859,5017
4936,5091
5017,5173
5094,5245
5173,5324
5245,5396
5324,5469
5396,5543
5469,5616
5543,5686
5616,5760
5686,5832
5760,5906
5832,5976
5906,6048
5976,6123
6048,6199
6123,6280
6199,6356
6280,6428
6356,6494
6428,6562
6494,6631
6562,6702
6631,6771
6702,6845
6771,6912
6845,6982
6912,7057
6982,7133
7057,7211
7133,7280
7211,7350
7280,7421
7350,7489
7421,7563
7489,7633
7563,7705
7633,7777
7705,7851
7777,7926
7851,7996
7926,8073
7996,8142
8073,8212
8142,8286
8212,8359
8286,8429
8359,8504
8429,8574
8504,8644
8574,8717
8644,8791
8717,8858
8791,8931
8858,9004
8931,9072
9004,9140
9072,9211
9140,9282
9211,9353
9282,9425
9353,9496
9425,9565
9496,9632
9565,9697
9632,9763
9697,9834
9763,9900
9834,9969
9900,10037
9969,10104
10037,10174
10104,10242
10174,10314
10242,10379
10314,10449
10379,10518
10449,10592
10518,10663
10592,10738
10663,10806
10738,10874
10806,10942
10874,11013
10942,11086
11013,11160
11086,11230
11160,11299
11230,11366
11299,11435
11366,11504
11435,11571
11504,11637
11571,11703
11637,11768
11703,11835
11768,11900
11835,11968
11900,12037
11968,12103
12037,12168
12103,12234
12168,12300
12234,12368
12300,12446
12368,12515
12446,12585
12515,12657
12585,12727
12657,12795
12727,12865
12795,12933
12865,12999
12933,13062
12999,13127
13062,13196
13127,13267
13196,13334
13267,13402
13334,13470
13402,13538
13470,13609
13538,13676
13609,13744
13676,13814
13744,13881
13814,13950
13881,14020
13950,14088
14020,14155
14088,14223
14155,14294
14223,14364
14294,14435
14364,14501
14435,14571
14501,14642
14571,14712
14642,14784
14712,14852
14784,14919
14852,14988
14919,15060
14988,15132
15060,15195
15132,15262
15195,15323
15262,15389
15323,15461
15389,15531
15461,15596
15531,15664
15596,15732
15664,15799
15732,15860
15799,15959
15860,16024
15959,16086
16024,16150
16086,16216
16150,16278
16216,16344
16278,16407
16344,16469
16407,16536
16469,16599
16536,16664
16599,16726
16664,16788
16726,16853
16788,16917
16853,16978
16917,17040
16978,17102
17040,17166
17102,17233
17166,17294
17233,17359
17294,17424
17359,17487
17424,17554
17487,17619
17554,17681
17619,17744
17681,17808
17744,17872
17808,17936
17872,18001
17936,18066
18001,18133
18066,18197
18133,18263
18197,18329
18263,18396
18329,18459
18396,18525
18459,18591
18525,18652
18591,18721
18652,18785
18721,18852
18785,18915
18852,18977
18915,19052
18977,19116
19052,19179
19116,19243
19179,19308
19243,19373
19308,19438
19373,19506
19438,19568
19506,19632
19568,19701
19632,19768
19701,19833
19768,19900
19833,19964
19900,20028
19964,20092
20028,20157
20092,20225
20157,20293
20225,20360
20293,20422
20360,20487
20422,20548
20487,20609
20548,20670
20609,20731
20670,20792
20731,20856
20792,20916
20856,20979
20916,21042
20979,21105
21042,21167
21105,21231
21167,21297
21231,21362
21297,21430
21362,21497
21430,21561
21497,21625
21561,21685
21625,21747
