start (index),end (index)
103,334
224,445
334,564
445,675
564,795
681,917
800,1032
917,1176
1043,1288
1176,1421
1288,1536
1421,1656
1536,1779
1659,1889
1779,2007
1889,2123
2007,2237
2123,2352
2237,2451
2352,2578
2451,2691
2578,2816
2691,2940
2816,3069
2940,3199
3069,3315
3199,3430
3315,3549
3430,3684
3549,3823
3684,3958
3823,4092
3958,4233
4092,4373
4233,4506
4373,4645
4506,4774
4645,4912
4774,5052
4912,5191
5052,5335
5191,5477
5335,5619
5477,5751
5619,5888
5751,6028
5888,6175
6028,6316
6175,6469
6316,6616
6469,6760
6616,6904
