start (index),end (index)
86,299
189,406
299,513
406,617
513,719
617,827
719,949
827,1060
949,1172
1060,1278
1172,1383
1278,1482
1383,1596
1482,1692
1596,1801
1692,1904
1801,2002
1904,2099
2002,2192
2099,2293
2192,2392
2293,2494
2392,2592
2494,2689
2592,2790
2689,2900
2790,3008
2900,3112
3008,3210
3112,3314
3210,3417
3314,3510
3417,3611
3510,3719
3611,3821
3719,3919
3821,4014
3919,4113
4014,4213
4113,4315
4213,4410
4315,4507
4410,4612
4507,4713
4612,4831
4713,4935
4831,5046
4935,5147
5046,5264
5147,5374
5264,5489
5374,5597
5489,5711
5597,5839
