start (index),end (index)
147,540
388,718
540,879
718,1033
879,1189
1033,1349
1189,1483
1349,1644
1483,1796
1644,1937
1796,2077
1937,2212
2077,2343
2212,2486
2343,2633
2486,2769
2633,2898
2769,3062
2898,3206
3062,3322
3207,3469
3322,3601
3469,3733
3601,3875
3733,4012
3875,4139
4012,4266
4139,4401
4266,4549
4401,4690
4549,4814
4690,4937
4814,5042
4937,5151
5042,5266
5151,5399
5266,5517
5399,5638
5517,5750
5638,5887
5750,6011
5887,6130
6011,6236
6130,6358
6242,6472
6358,6584
6472,6705
6584,6816
6705,6935
6816,7048
6935,7161
7048,7274
7161,7389
7274,7488
7389,7581
7488,7700
7581,7818
7700,7936
7818,8062
7936,8183
8062,8336
8183,8491
8336,8639
8491,8798
8639,8973
