start (index),end (index)
63,258
159,353
258,453
353,556
453,664
556,758
664,867
758,974
867,1076
974,1181
1076,1287
1181,1392
1287,1517
1392,1654
1517,1778
1654,1905
1778,2037
1905,2158
2037,2267
2158,2386
2267,2505
2386,2629
2505,2759
2629,2888
2759,3022
2888,3160
3022,3268
3160,3371
3268,3484
3371,3599
3484,3722
3599,3843
3722,3971
3843,4085
3971,4203
4085,4319
4203,4440
4319,4562
4440,4694
4562,4820
4694,4953
4820,5085
4953,5217
5085,5358
5217,5497
5358,5632
5497,5777
5632,5913
5777,6058
5913,6199
6058,6334
6199,6489
6334,6644
6489,6821
6644,6993
6821,7148
6993,7296
7148,7434
7296,7580
7434,7731
7580,7886
7731,8030
7886,8176
8030,8321
8176,8513
