start (index),end (index)
103,360
234,481
360,685
481,779
685,876
779,974
876,1074
975,1165
1074,1261
1165,1353
1261,1449
1353,1547
1449,1648
1547,1748
1648,1845
1748,1939
1845,2035
1939,2133
2035,2232
2133,2333
2232,2434
2333,2541
2434,2646
2541,2742
2646,2841
2752,2942
2841,3043
2942,3140
3043,3238
3140,3341
3238,3438
3341,3542
3438,3645
3542,3753
3645,3851
3753,3948
3851,4048
3948,4155
4048,4256
4155,4351
4256,4457
4351,4559
4457,4662
4559,4763
4662,4867
4763,4972
4867,5080
4972,5186
5080,5290
5186,5392
5290,5509
5392,5616
5509,5720
5616,5828
5720,5936
5828,6042
5936,6143
6042,6247
6143,6358
6247,6461
6358,6571
6461,6671
6571,6776
6671,6871
6776,6971
6871,7079
6971,7180
7079,7297
7183,7391
7297,7537
7409,7660
