start (index),end (index)
61,220
142,298
220,378
298,457
378,539
457,622
539,703
622,786
703,867
786,941
867,1030
946,1113
1030,1194
1113,1273
1194,1357
1273,1440
1357,1524
1440,1605
1524,1687
1605,1770
1687,1848
1770,1928
1848,2011
1928,2090
2011,2167
2090,2248
2167,2324
2248,2405
2324,2484
2405,2563
2484,2644
2563,2721
2644,2796
2721,2879
2796,2959
2879,3039
2959,3117
3039,3196
3117,3273
3196,3349
3273,3426
3349,3504
3426,3580
3504,3653
3580,3728
3653,3805
3728,3881
3805,3957
3881,4033
3957,4107
4033,4182
4107,4259
4182,4337
4259,4418
4337,4496
4418,4577
4496,4651
4577,4731
4651,4809
4731,4882
4809,4952
4882,5027
4952,5105
5027,5182
5105,5261
5182,5336
5261,5414
5336,5488
5414,5565
5488,5637
5565,5711
5637,5787
5711,5860
5787,5934
5860,6006
5934,6081
6006,6157
6081,6233
6157,6311
6233,6389
6311,6463
6389,6534
6463,6608
6534,6687
6608,6763
6687,6839
6763,6911
6839,6987
6911,7062
6987,7136
7062,7209
7136,7283
7209,7354
7283,7428
7354,7512
7428,7589
7512,7664
7589,7738
7664,7808
7738,7881
7808,7953
7881,8026
7953,8097
8026,8174
8100,8252
8178,8330
8252,8404
8334,8482
8408,8555
8482,8630
8560,8708
8638,8782
8712,8859
8786,8935
8859,9008
8939,9083
9011,9156
9087,9231
9162,9305
9237,9382
9311,9455
9383,9534
9462,9606
9534,9686
9613,9760
9691,9836
9767,9908
9840,9982
9912,10053
9982,10118
10056,10192
10122,10268
10196,10348
10276,10432
10355,10514
10440,10595
10519,10671
10602,10754
10679,10838
10760,10919
10841,10995
10919,11066
10995,11146
11066,11239
11152,11306
11239,11385
11311,11458
11388,11540
11465,11621
11540,11699
11621,11777
11699,11857
11782,11938
11862,12018
11938,12100
12018,12178
12104,12258
12178,12337
12258,12417
12337,12491
12417,12564
12491,12639
12564,12722
12646,12796
12722,12872
12802,12946
12879,13017
12946,13082
13017,13149
13082,13219
13149,13299
13219,13361
13299,13432
13361,13502
13432,13575
13502,13651
13581,13723
13651,13795
13723,13869
13795,13940
13869,14020
13944,14096
14026,14171
14103,14247
14179,14328
14255,14406
14328,14474
14406,14549
14480,14620
14549,14694
14620,14770
14694,14846
14777,14920
14846,14996
14928,15070
15004,15143
15078,15216
15149,15288
15223,15358
15294,15430
15364,15504
15439,15578
15512,15649
15584,15721
15657,15793
15728,15866
15800,15938
15866,16005
15942,16078
16012,16149
16085,16224
16156,16295
16232,16365
16302,16433
16369,16503
16440,16572
16510,16643
16580,16716
16650,16782
16722,16855
16791,16934
16865,17010
16942,17089
17019,17173
17097,17244
17180,17319
17251,17395
17329,17475
17404,17558
17483,17622
17558,17693
17628,17775
17703,17846
17782,17920
17854,17990
17926,18067
18002,18142
18076,18214
18148,18279
18219,18345
18284,18410
18350,18478
18417,18555
18483,18612
18555,18679
18618,18746
18685,18816
18753,18886
18824,18960
18893,19028
18965,19093
19034,19160
19099,19231
19166,19299
19237,19370
19305,19442
19378,19514
19450,19590
19523,19663
19599,19740
19671,19815
19748,19893
19822,19968
19901,20045
19975,20113
20046,20183
20117,20264
20191,20342
20272,20416
20349,20497
20426,20575
20505,20649
20584,20722
20658,20794
20729,20870
20802,20948
20880,21026
20957,21098
21032,21172
21104,21243
21179,21314
21250,21390
21322,21461
21397,21531
21467,21605
21540,21676
21612,21747
21685,21817
21754,21898
21827,21973
21906,22043
21980,22109
22049,22186
22117,22263
22193,22332
22271,22404
22339,22489
22412,22549
22489,22623
22556,22698
22630,22771
22705,22841
22774,22912
22846,22980
22919,23051
22987,23117
23055,23188
23125,23258
23195,23331
23265,23407
23338,23480
23415,23550
23488,23623
23557,23703
23628,23769
23703,23829
23769,23903
23835,23971
23907,24041
23977,24113
24047,24181
24119,24248
24185,24319
24252,24392
24325,24453
24392,24526
24461,24603
24535,24680
24614,24754
24689,24822
24760,24889
24827,24957
24896,25026
24963,25096
25033,25168
25104,25246
25178,25317
25255,25391
25327,25460
25400,25537
25472,25610
25548,25684
25621,25755
25693,25833
25766,25907
25842,25986
25917,26058
25993,26123
26064,26199
26132,26268
26205,26339
26273,26413
26344,26484
26417,26556
26488,26626
26562,26698
26626,26781
26706,26846
26788,26925
26858,26993
26932,27057
26997,27122
27062,27191
27128,27255
27196,27321
27259,27385
27325,27451
27390,27516
27456,27582
27523,27647
27587,27710
27651,27777
27716,27846
27784,27913
27853,27980
27920,28047
27987,28116
28055,28181
28122,28245
28185,28311
28250,28377
28317,28444
28383,28515
28451,28586
28522,28656
28590,28727
28662,28798
28734,28869
28804,28942
28875,29008
28946,29075
29013,29144
29082,29210
29151,29273
29215,29339
29279,29405
29343,29475
29412,29541
29479,29605
29546,29676
29611,29745
29682,29814
29751,29884
29821,29953
29891,30021
29959,30089
30026,30159
30095,30228
30163,30296
30228,30362
30299,30436
30367,30511
