start (index),end (index)
58,300
181,411
300,524
411,634
524,751
634,857
751,973
857,1101
973,1222
1101,1329
1222,1440
1329,1551
1440,1666
1552,1789
1670,1893
1789,2005
1898,2129
2005,2253
2129,2367
2253,2488
2367,2603
2488,2723
2603,2855
2723,2970
2855,3081
2970,3193
3081,3310
3193,3425
3310,3530
3425,3641
3530,3747
3641,3857
3747,3965
3857,4096
3971,4209
4096,4324
4214,4448
4324,4571
4450,4704
4576,4841
4711,4992
4850,5141
4992,5270
5141,5410
5278,5556
5416,5708
5563,5855
5708,5984
5855,6128
5984,6260
6128,6394
6260,6535
6397,6675
6535,6800
6675,6933
6804,7068
6936,7213
7078,7355
7219,7489
7355,7648
7496,7799
7653,7954
7799,8087
7954,8233
8093,8380
8239,8529
8388,8713
8543,8860
8713,9026
8873,9201
9033,9365
9201,9600
9382,9768
9600,9945
