start (index),end (index)
123,373
248,493
373,618
493,749
618,870
751,996
870,1121
996,1238
1121,1353
1238,1477
1353,1607
1480,1716
1607,1854
1725,1976
1854,2099
1980,2211
2099,2334
2211,2461
2334,2574
2461,2694
2574,2823
2694,2942
2823,3069
2942,3196
3069,3314
3196,3436
3314,3544
3436,3666
3553,3809
3676,3941
3809,4055
3941,4180
4055,4299
4180,4428
4299,4548
4428,4676
4548,4798
4676,4920
4798,5045
4920,5169
5045,5291
5169,5415
5291,5540
5415,5667
5540,5793
5667,5926
5793,6053
5926,6187
6053,6324
6187,6446
6324,6582
6446,6722
6582,6843
6722,6971
6843,7100
6971,7230
7100,7355
7230,7486
7355,7622
7486,7736
