start (index),end (index)
37,243
134,347
243,457
347,572
457,693
572,803
693,908
803,1022
908,1129
1022,1242
1129,1354
1242,1462
1354,1569
1462,1673
1569,1794
1674,1903
1794,2009
1903,2117
2009,2274
2117,2392
2274,2520
2392,2642
2520,2762
2642,2886
2762,3014
2886,3121
3014,3255
3126,3368
3255,3489
3368,3607
3489,3720
3607,3832
3720,3945
3832,4072
3945,4188
4072,4318
4188,4416
4318,4552
4425,4672
4555,4819
4688,4961
4824,5074
4961,5216
5084,5346
5216,5468
5346,5588
5468,5691
5588,5797
5691,5906
5797,6010
5906,6143
6010,6279
6153,6383
6279,6500
6384,6607
6500,6719
6607,6822
6719,6916
