start (index),end (index)
96,339
221,452
339,566
452,673
566,782
673,893
782,1008
893,1110
1008,1217
1110,1325
1217,1429
1325,1534
1429,1641
1534,1749
1641,1861
1749,1968
1861,2081
1968,2188
2081,2295
2188,2406
2295,2503
2406,2611
2503,2730
2611,2853
2730,2988
2853,3113
2988,3230
3113,3351
3230,3474
3351,3602
3474,3724
3602,3844
3724,3969
3844,4101
3969,4223
4101,4342
4223,4457
4342,4567
4457,4686
4567,4802
4686,4920
4802,5032
4920,5143
5032,5252
5143,5367
5252,5477
5367,5582
5477,5691
5582,5802
5691,5915
5802,6015
5915,6127
6015,6235
6127,6344
6235,6454
6344,6560
6454,6671
6563,6783
6671,6884
6783,6992
6884,7102
6992,7219
7102,7327
7219,7441
7327,7553
7441,7662
7553,7773
7662,7887
7773,8002
7887,8117
8002,8229
8117,8345
8229,8449
8345,8566
8449,8678
8566,8798
8678,8920
8798,9035
8922,9157
9035,9278
9157,9395
9278,9512
9395,9635
9512,9754
9635,9871
9754,10004
9871,10137
10004,10265
10137,10416
