start (index),end (index)
78,292
182,402
292,512
402,623
512,734
623,849
734,963
849,1079
963,1189
1079,1305
1189,1414
1305,1532
1414,1642
1532,1751
1642,1860
1751,1971
1860,2072
1971,2175
2072,2282
2175,2384
2282,2487
2384,2597
2487,2703
2597,2810
2703,2911
2810,3010
2911,3114
3010,3218
3114,3324
3218,3436
3324,3544
3436,3651
3544,3770
3651,3885
3770,3995
3885,4100
3995,4205
4100,4319
4205,4435
4319,4551
4435,4668
4551,4774
4668,4897
4774,5040
4897,5178
5040,5305
5178,5439
5305,5577
5439,5710
5577,5911
5730,6100
5937,6339
