start (index),end (index)
111,361
240,479
361,594
479,707
594,796
707,881
796,970
881,1056
970,1140
1056,1239
1140,1320
1239,1414
1320,1507
1417,1597
1511,1683
1601,1769
1687,1855
1774,1951
1860,2034
1951,2117
2040,2199
2123,2284
2203,2369
2290,2461
2376,2548
2466,2632
2553,2721
2637,2801
2724,2891
2807,2975
2895,3069
2980,3161
3072,3244
3165,3327
3248,3408
3332,3491
3413,3580
3499,3668
3584,3751
3673,3837
3757,3922
3844,4010
3928,4097
4015,4184
4103,4272
4190,4361
4278,4447
4367,4534
4454,4621
4540,4708
4627,4794
4714,4879
4801,4964
4886,5053
4970,5142
5059,5238
5150,5325
5242,5412
5329,5493
5415,5577
5498,5662
5582,5753
5668,5841
5758,5929
5847,6014
5934,6099
6019,6182
6105,6274
6187,6361
6280,6449
6369,6540
6456,6635
6546,6728
6640,6823
6735,6913
6828,7007
6920,7098
7014,7191
7104,7282
7196,7375
7288,7468
7383,7565
7476,7670
7575,7765
7675,7862
