start (index),end (index)
82,246
166,330
246,411
330,488
411,573
488,650
573,728
650,805
728,877
805,950
877,1028
950,1110
1028,1190
1110,1272
1190,1351
1272,1427
1351,1505
1427,1584
1505,1660
1584,1738
1660,1816
1738,1895
1816,1974
1895,2055
1974,2136
2055,2214
2136,2294
2214,2375
2294,2451
2375,2530
2451,2607
2530,2686
2607,2771
2686,2845
2771,2927
2845,3007
2927,3083
3007,3165
3083,3246
3165,3324
3246,3406
3324,3490
3406,3569
3490,3651
3569,3734
3651,3816
3735,3896
3816,3980
3896,4062
3980,4144
4062,4220
4144,4304
4220,4383
4304,4463
4384,4545
4463,4627
4545,4709
4627,4788
4709,4871
4788,4963
4871,5048
4963,5131
5048,5210
5131,5274
5210,5375
5284,5458
5376,5542
5458,5627
5545,5704
5627,5783
5704,5868
5783,5945
5868,6027
5945,6118
6027,6194
6118,6278
6194,6372
6278,6469
6372,6561
6477,6650
6561,6735
6650,6822
6735,6906
6822,6993
6906,7078
6993,7153
7078,7236
7153,7334
7236,7439
7334,7586
