start (index),end (index)
111,429
276,573
429,696
573,832
696,960
832,1103
960,1247
1103,1397
1247,1550
1397,1708
1550,1852
1708,2012
1852,2163
2012,2308
2163,2461
2308,2625
2461,2773
2625,2918
2773,3069
2918,3219
3069,3369
3219,3519
3369,3663
3519,3812
3663,3966
3812,4109
3966,4261
4109,4408
4261,4551
4408,4696
4551,4848
4696,4995
4848,5133
4995,5264
5133,5408
5264,5549
5408,5695
5549,5831
5695,5961
5831,6113
5961,6257
6113,6393
6257,6528
6393,6660
6528,6794
6660,6924
6794,7066
6924,7196
7066,7337
7196,7475
7337,7614
7475,7762
7614,7909
7762,8044
7909,8183
8044,8320
8183,8458
8320,8597
8463,8720
8597,8852
8720,8975
8852,9112
8984,9239
9120,9381
9247,9519
9391,9650
9523,9787
9658,9925
9796,10071
9933,10205
10078,10339
10213,10472
10345,10594
10472,10732
10603,10869
10743,11003
10876,11136
11012,11273
11145,11409
11283,11550
11415,11721
11563,11855
11721,12003
11862,12159
12011,12311
12159,12437
12311,12576
12443,12720
12582,12864
12727,13005
12865,13147
13013,13294
13152,13436
13294,13574
13436,13722
13574,13857
13722,14000
13861,14132
